 149 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255
 149 255 255 255 255 255 255 255 255 255 255 115 115 255 255 255 255 255 255 255 255 255 255 255
 149 149 255 255 255 255 255 255 192 192 192 115 115 115 255 255 255 255 255 255 255 255 255 255
 149 255 255 255 255 255 255 192 192 192 192 192 192 115 115 255 255 255 255 255 255 255 255 255
 149 255 255 255 192 192 192 255 255 255 255 255 255 192 115 115 255 255 255 255 255 255 255 255
 149 255 255 255 149 149 149 255 255 255 255 255 255 255 192 192 115 255 255 255 192 255 255 255
 149 255 255 255 192 192 149 255 255 255 255 255 255 255 255 255 255 115 115 115  21 115 255 255
 255 255 255 255 192 255 255 255 255 255 255 255 255 192 255 255 255 115 115 115 115 115 255 255
 255 255 255 255 192 255 255 255 255 255 255 255 255 192 192 192 192 192 115 115 115 115 115 255
 255 255 255 192 192 255 255 255 255 255 255 255 255 192 192 192 192 255 115 115 115 115 115 115
 255 255 255 115 115 115 255 255 255 149 149 255 255 255 192 192 255 255 255 115 115 115 115 115
 255 255 115 115 115 192 255 255 255 255 149 149 115 149 192 192 255 255 115 115 115 255 255 255
 115 115 115 115 115 192 255 255 149 149 115 115 115 115 115 149 192 115 115 115 115 255 255 255
 115 115 115 192 192 255 255 255 255 255 149 149 115 149 149 149 115 115 115 115 115 255 255 255
 115 115 255 255 192 255 255 255 255 149 149 149 149 192 149 149 115 115 115 115 149 255 255 255
 115 255 255 255 255 255 255 255 255 255 255 255 255 255 192 192 149 115 115  21 149 149 255 255
 115 255 255 255 255 255 255 255 255 255 255 255 255 192 149 149 149 149 115 149 149 149 255 255
 255 255 255 255 255 255 255 255 255 255 255 255 255 192 149 149 149 149 149 149 149 255 255 255
 115 255 255 255 255 255 255 255 255 255 255 192 192 192 255 255 255 149 149 149 149 255 255 255
 115 115 115 255 255 255 255 255 255 255 192 115 115 255 255 255 255 255 149 149 255 255 255 255
 115 115 115 255 255 255 255 115 255 115 115 115 115 255 255 255 255 255 255 255 255 255 255 255
 115 115 115 115 115 255 255 115 115 115 115 115 255 255 255 255 255 255 255 255 255 255 255 255
 115 115 115 255 115 255 115 115 115 115 255 255 255 255 255 255 255 255 255 255 255 255 255 255
 115 115 115 115 115 115 115 115 115 115 255 255 255 255 255 255 115 115 115 115 115 115 115 115
